,Word,Count
630,destroyed,53
631,gain,48
632,top,27
633,dam,3
634,orders,2
635,supervisor,1
636,extremely,15
637,tip,20
638,knoll,4
639,minutes,235
640,rockford,1
641,witness,14
642,said,19
643,explosion,55
644,disappeared,93
645,minute,21
646,irrigation,3
647,ditch,27
648,skeleton,1
649,old,14
650,windmill,1
651,yards,19
652,edge,20
653,practicing,8
654,landings,8
655,drowned,16
656,tangled,1
657,man,15
658,andes,18
659,buried,3
660,ice,63
661,’,17
662,march,2
663,former,4
664,donald,1
665,duke,2
666,bolivian,2
667,supplies,7
668,mile-an-hour,1
669,mountainous,98
670,terrain,296
671,spessart,1
672,circled,15
673,oak,2
674,bayou,1
675,days,39
676,injuries,19
677,vertical,32
678,bearings,3
679,tops,21
680,houses,44
681,smashed,4
682,third,38
683,bursting,25
684,unusual,9
685,unforeseen,1
686,condition,54
687,developed,22
688,intensity,6
689,immediate,9
690,locality,1
691,ceiling,51
692,dropped,24
693,approached,16
694,destination,63
695,crusing,2
696,coming,21
697,although,26
698,never,57
699,proven,4
700,thought,15
701,airline,15
702,act,6
703,satotage,1
704,started,36
705,commit,2
706,suicide,10
707,cruising,22
708,new,48
709,jersey,6
710,droped,1
711,leveling,4
712,regain,7
713,safe,73
714,plummeted,2
715,atlantiocean,30
716,decision,122
717,commander,7
718,despite,23
719,presence,11
720,delivery,5
721,eurasia,1
722,china,8
723,ravine,18
724,insane,1
725,asylum,1
726,chicago,12
727,explosive,32
728,device,27
729,placed,28
730,cargo,474
731,hold,27
732,consisting,5
733,nitro-glycerin,1
734,attached,3
735,timing,2
736,case,7
737,sabotage,10
738,thickly,1
739,wooded,61
740,obstacle,12
741,antenna,9
742,tore,9
743,'emeraude,1
744,parley,1
745,cheyenne,5
746,drift,7
747,blizzard,3
748,scadta,1
749,pan,15
750,subsidiary,1
751,operating,31
752,domestiflight,12
753,colombian,5
754,jungle,47
755,called,5
756,'green,1
757,hell,1
758,goigira,1
759,indians,2
760,canoeing,1
761,uribe,1
762,pieces,13
763,clothing,1
764,dead,8
765,people,31
766,alive,2
767,dazed,1
768,exhausted,4
769,crazy,1
770,speak,1
771,carried,23
772,civilization,2
773,recovered,25
774,name,1
775,newton,2
776,general,12
777,manager,6
778,gold,4
779,&,25
780,platinum,2
781,company,48
782,survivor,19
783,immedately,1
784,chance,1
785,catskill,1
786,mar,2
787,chiquita,1
788,lagoon,4
789,pick,11
790,station,28
791,rest,48
792,watermelon,1
793,patch,2
794,swiss,4
795,-,11
796,germany,4
797,border,12
798,st.,28
799,joseph,3
800,dangerous,8
801,turning,24
802,close,24
803,fog-bound,1
804,inaccurate,4
805,in-flight,112
806,possibly,41
807,dusty,1
808,low-visibility,1
809,brisbane,1
810,probably,26
811,deficiencies,13
812,half-way,3
813,baghdad,5
814,gaza,1
815,'univer,1
816,dutch,7
817,word,1
818,stork,1
819,big,5
820,summit,20
821,sunbright,1
822,soon,45
823,blinding,5
824,full,42
825,headwind,3
826,headed,13
827,airspeed,76
828,chief,7
829,robert,6
830,bajac,1
831,rattlesnake,1
832,butte,3
833,james,3
834,montijo,1
835,taught,1
836,amelia,2
837,earhart,2
838,albuquerque,4
839,diverted,51
840,kirksville,3
841,made,164
842,whether,6
843,available,38
844,supply,12
845,determined,41
846,mexico,12
847,senator,6
848,bronson,1
849,cutting,2
850,improper,212
851,clearance,95
852,personnel,30
853,two-way,1
854,functioning,6
